"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"01447","2024","COM","2022","1391","27","1418","2024-12-30"
"01448","2024","COM","2022","390","14","404","2024-12-30"
"01449","2024","COM","2022","763","15","778","2024-12-30"
"01450","2024","COM","2022","3831","74","3905","2024-12-30"
"01451","2024","COM","2022","6955","131","7086","2024-12-30"
"01452","2024","COM","2022","1110","24","1134","2024-12-30"
"01453","2024","COM","2022","715","16","731","2024-12-30"
"01454","2024","COM","2022","1122","21","1143","2024-12-30"
"01456","2024","COM","2022","71","2","73","2024-12-30"
"01457","2024","COM","2022","3233","44","3277","2024-12-30"
"02001","2024","COM","2022","513","9","522","2024-12-30"
"02002","2024","COM","2022","586","13","599","2024-12-30"
"02003","2024","COM","2022","1013","26","1039","2024-12-30"
"02004","2024","COM","2022","188","3","191","2024-12-30"
"02005","2024","COM","2022","405","6","411","2024-12-30"
"02006","2024","COM","2022","257","9","266","2024-12-30"
"02007","2024","COM","2022","119","3","122","2024-12-30"
"02008","2024","COM","2022","308","3","311","2024-12-30"
"02009","2024","COM","2022","522","8","530","2024-12-30"
"02010","2024","COM","2022","166","2","168","2024-12-30"
"02011","2024","COM","2022","1203","51","1254","2024-12-30"
"02012","2024","COM","2022","81","0","81","2024-12-30"
"02013","2024","COM","2022","386","7","393","2024-12-30"
"02014","2024","COM","2022","710","22","732","2024-12-30"
"02015","2024","COM","2022","78","1","79","2024-12-30"
"02016","2024","COM","2022","211","8","219","2024-12-30"
"02017","2024","COM","2022","281","2","283","2024-12-30"
"02018","2024","COM","2022","2510","39","2549","2024-12-30"
"02019","2024","COM","2022","352","5","357","2024-12-30"
"02020","2024","COM","2022","455","8","463","2024-12-30"
"02021","2024","COM","2022","77","1","78","2024-12-30"
"02022","2024","COM","2022","398","4","402","2024-12-30"
"02023","2024","COM","2022","98","3","101","2024-12-30"
"02024","2024","COM","2022","45","0","45","2024-12-30"
"02025","2024","COM","2022","363","7","370","2024-12-30"
"02027","2024","COM","2022","203","8","211","2024-12-30"
"02028","2024","COM","2022","2600","56","2656","2024-12-30"
"02029","2024","COM","2022","345","11","356","2024-12-30"
"02030","2024","COM","2022","243","6","249","2024-12-30"
"02031","2024","COM","2022","659","6","665","2024-12-30"
