"Code","LIB","mono","enf","Dipl","voit"
"02048","Barenton-sur-Serre",0,14.3,5.2,94.6
"02049","Barisis-aux-Bois",19.6,6.5,5.2,91.5
"02050","Barzy-en-Thiérache",10.5,10.5,4.4,93.8
"02051","Barzy-sur-Marne",4.3,4.3,5.3,93.4
"02052","Bassoles-Aulers",25,0,5.9,88.5
"02053","Vallées en Champagne",15.2,6.1,6.8,93.5
"02054","Bazoches-et-Saint-Thibaut",2.9,8.1,6.6,93.1
"02055","Beaumé",0,0,6.5,92.5
"02056","Beaumont-en-Beine",10,10,5.8,91.4
"02057","Beaurevoir",17.6,9.6,8.2,83.4
"02058","Beaurieux",16,16,5.2,92.2
"02059","Beautor",17.3,11.4,5.5,77.4
"02060","Beauvois-en-Vermandois",17.5,11.3,6.8,93.4
"02061","Becquigny",6.7,13.3,7.4,94.3
"02062","Belleau",25,0,2.1,94.1
"02063","Bellenglise",4.4,8.6,11.3,90.6
"02064","Belleu",15.1,7.3,5.3,84.9
"02065","Bellicourt",18.9,10.5,7,87.1
"02066","Benay",0,8.3,9.5,96.5
"02067","Bergues-sur-Sambre",14.3,0,8.8,96.6
"02068","Berlancourt",33.3,33.3,9.4,81.1
"02069","Berlise",0,0,9,95.6
"02070","Bernot",8,8,6.4,89.2
"02071","Berny-Rivière",9.9,10.2,4.9,89.9
"02072","Berrieux",0,0,6.2,96.3
"02073","Berry-au-Bac",5.6,7.5,4.5,95.7
"02074","Bertaucourt-Epourdon",8.3,16.7,3.8,94.4
"02075","Berthenicourt",0,8.3,5.4,97.4
"02076","Bertricourt",11.1,11.1,3.8,93
"02077","Berzy-le-Sec",4.5,8.1,3.1,96.8
"02078","Besmé",0,20,6.2,95.1
"02079","Besmont",0,0,9.1,94
"02080","Besny-et-Loizy",18.2,0,2.6,97.2
"02081","Béthancourt-en-Vaux",13,11.5,8.1,96
"02082","Beugneux",0,0,9.8,93.5
"02083","Beuvardes",11,6.2,4,92.3
"02084","Bézu-le-Guéry",11.7,5.8,7.6,93.3
"02085","Bézu-Saint-Germain",10.3,11.5,6.7,98
